size 	 n log n 	 log n 	 Compares	 swaps 	 hits 	 time 
10000	92103.40371976183	9.210340371976184	3357	1134	7946	1
15000	144237.0822012652	9.615805480084347	5878	1686	12806	2
22500	225478.5882343315	10.021270588192511	10765	2672	21856	2
33750	351902.3297501478	10.426735696300677	20810	3997	37542	4
50625	548380.1657231975	10.83220080440884	39275	6691	67293	6
75937	853354.1364004498	11.237659328133187	77933	9117	116412	12
113905	1326209.5889111687	11.643120046628056	160066	13291	216382	19
