16 10000 566
16 20000 526
16 30000 531
16 40000 598
16 50000 785
16 60000 602
16 70000 736
16 80000 647
16 90000 601
16 100000 544
16 110000 580
16 120000 886
16 130000 594
16 140000 605
16 150000 563
16 160000 572
16 170000 622
16 180000 546
16 190000 611
16 200000 581
16 210000 557
16 220000 540
16 230000 566
16 240000 582
16 250000 560
16 260000 614
16 270000 602
16 280000 596
16 290000 588
16 300000 593
16 310000 693
16 320000 688
16 330000 751
16 340000 640
16 350000 626
16 360000 593
16 370000 614
16 380000 607
16 390000 597
16 400000 599
16 410000 590
16 420000 617
16 430000 698
16 440000 712
16 450000 723
16 460000 675
16 470000 702
16 480000 739
16 490000 682
16 500000 598
16 510000 783
16 520000 778
16 530000 782
16 540000 782
16 550000 778
16 560000 991
16 570000 896
16 580000 781
16 590000 783
16 600000 781
16 610000 783
16 620000 782
16 630000 780
16 640000 778
16 650000 779
16 660000 777
16 670000 780
16 680000 783
16 690000 781
16 700000 781
16 710000 779
16 720000 778
16 730000 780
16 740000 779
16 750000 779
16 760000 779
16 770000 782
16 780000 779
16 790000 781
16 800000 781
16 810000 782
16 820000 783
16 830000 779
16 840000 782
16 850000 782
16 860000 781
16 870000 787
16 880000 781
16 890000 782
16 900000 778
16 910000 782
16 920000 789
16 930000 792
16 940000 781
16 950000 780
16 960000 780
16 970000 781
16 980000 782
16 990000 776
16 1000000 780
