size 	 n log n 	 log n 	 Compares	 swaps 	 hits 	 time 
10000	92103.40371976183	9.210340371976184	121570	9838	479352	7
15000	144237.0822012652	9.615805480084347	192869	18677	755956	15
22500	225478.5882343315	10.021270588192511	300961	25410	1181640	27
33750	351902.3297501478	10.426735696300677	467400	26327	1860308	80
50625	548380.1657231975	10.83220080440884	739473	65735	2895440	122
75937	853354.1364004498	11.237659328133187	1143652	69887	4532020	355
113905	1326209.5889111687	11.643120046628056	1806028	169972	7058568	557
